Accession	Gene_name	Protein_name
Q6EMK4	VASN;SLITL2;UNQ314/PRO357/PRO1282	Vasorin
Q6F5E8	RLTPR;CARMIL2b;LRRC16C	Leucine-rich repeat-containing protein 16C
Q6FHT8	RNP24;TMED2;hCG_1743563	RNP24 protein
Q6FI13	HIST2H2AA3;H2AFO;HIST2H2AA;HIST2H2AA4	Histone H2A type 2-A
Q6I9R8	FHL2;hCG_28013	FHL2 protein
Q6IAA8	LAMTOR1;C11orf59;PDRO;PP7157	Ragulator complex protein LAMTOR1
Q6IAN0	DHRS7B;CGI-93;UNQ212/PRO238	Dehydrogenase/reductase SDR family member 7B
Q6IBC4	NDUFS6;hCG_21432	NADH dehydrogenase
Q6IBS0	TWF2;PTK9L;MSTP011	Twinfilin-2
Q6IMI6	SULT1C3	Sulfotransferase 1C3
Q6IPH7	RPL14	RPL14 protein
Q6JBY9	RCSD1;CAPZIP	CapZ-interacting protein
Q6JQN1	ACAD10	Acyl-CoA dehydrogenase family member 10
Q6KC79	NIPBL;IDN3	Nipped-B-like protein
Q6L9W6	B4GALNT3	Beta-1,4-N-acetylgalactosaminyltransferase 3
Q6N069	NAA16;NARG1L;NAT2	N-alpha-acetyltransferase 16, NatA auxiliary subunit
Q6NTF9	RHBDD2;RHBDL7	Rhomboid domain-containing protein 2
Q6NUK1	SLC25A24;APC1;MCSC1;SCAMC1	Calcium-binding mitochondrial carrier protein SCaMC-1
Q6NUK1-2	SLC25A24	Isoform 2 of Calcium-binding mitochondrial carrier protein SCaMC-1
Q6NUM9	RETSAT;PPSIG;UNQ439/PRO872	All-trans-retinol 13,14-reductase
Q6NUQ4	TMEM214;PP446	Transmembrane protein 214
Q6NVV1	RPL13AP3	Putative 60S ribosomal protein L13a protein RPL13AP3
Q6NXE6	ARMC6	Armadillo repeat-containing protein 6
Q6NYC1	JMJD6;KIAA0585;PTDSR	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6
Q6NYC8	PPP1R18;HKMT1098;KIAA1949	Phostensin
Q6NZI2	PTRF;FKSG13	Polymerase I and transcript release factor
Q6P1M0	SLC27A4;ACSVL4;FATP4	Long-chain fatty acid transport protein 4
Q6P1X6	C8orf82	UPF0598 protein C8orf82
Q6P2E9	EDC4;HEDLS	Enhancer of mRNA-decapping protein 4
Q6P2Q9	PRPF8;PRPC8	Pre-mRNA-processing-splicing factor 8
Q6P4E1	CASC4;UNQ2573/PRO6308	Protein CASC4
Q6P4Q7	CNNM4;ACDP4;KIAA1592	Metal transporter CNNM4
Q6P587	FAHD1;C16orf36;YISKL	Acylpyruvase FAHD1, mitochondrial
Q6P6B1	ERICH5;C8orf47	Glutamate-rich protein 5
Q6P996	PDXDC1;KIAA0251	Pyridoxal-dependent decarboxylase domain-containing protein 1
Q6P9B9	INTS5;KIAA1698	Integrator complex subunit 5
Q6PDB4	ZNF880	Zinc finger protein 880
Q6PHW0	IYD;C6orf71;DEHAL1	Iodotyrosine dehalogenase 1
Q6PIU2	NCEH1;AADACL1;KIAA1363	Neutral cholesterol ester hydrolase 1
Q6PKG0	LARP1;KIAA0731;LARP	La-related protein 1
Q6PL24	TMED8;FAM15B;L10	Protein TMED8
Q6PML9	SLC30A9;C4orf1;HUEL	Zinc transporter 9
Q6QEF8	CORO6;PP1009;PP1782;PP1881	Coronin-6
Q6RW13	AGTRAP;ATRAP	Type-1 angiotensin II receptor-associated protein
Q6S4P3	FTL	Ferritin
Q6S8J3	POTEE;A26C1A;POTE2	POTE ankyrin domain family member E
Q6SZW1	SARM1;KIAA0524;SAMD2;SARM	Sterile alpha and TIR motif-containing protein 1
Q6TFL4	KLHL24;DRE1	Kelch-like protein 24
Q6UVK1	CSPG4;MCSP	Chondroitin sulfate proteoglycan 4
Q6UVM3	KCNT2;SLICK	Potassium channel subfamily T member 2
Q6UVY6	MOXD1;MOX;UNQ2493/PRO5780	DBH-like monooxygenase protein 1
Q6UW02	CYP20A1;UNQ667/PRO1301	Cytochrome P450 20A1
Q6UW49	SPESP1;UNQ732/PRO1418	Sperm equatorial segment protein 1
Q6UW68	TMEM205;UNQ501/PRO1018	Transmembrane protein 205
Q6UW78	C11orf83;UNQ655/PRO1286	UPF0723 protein C11orf83
Q6UWH4	FAM198B;C4orf18;ENED;AD021;UNQ2512/PRO6001	Protein FAM198B
Q6UWP7	LCLAT1;AGPAT8;ALCAT1;LYCAT;UNQ1849/PRO3579	Lysocardiolipin acyltransferase 1
Q6UWR7	ENPP6;UNQ1889/PRO4334	Ectonucleotide pyrophosphatase/phosphodiesterase family member 6
Q6UX53	METTL7B;UNQ594/PRO1180	Methyltransferase-like protein 7B
Q6UXB8	PI16;CRISP9;PSPBP;PSEC0164;UNQ289/PRO328	Peptidase inhibitor 16
Q6UXG2	KIAA1324;EIG121;UNQ2426/PRO4985	UPF0577 protein KIAA1324
Q6UXG2-2	KIAA1324	Isoform 2 of UPF0577 protein KIAA1324
Q6UXU4	GSG1L;UNQ5831/PRO19651	Germ cell-specific gene 1-like protein
Q6UXV4	APOOL;CXorf33;FAM121A;UNQ8193/PRO23204	Apolipoprotein O-like
Q6V9R5	ZNF562	Zinc finger protein 562
Q6WCQ1	MPRIP;KIAA0864;MRIP;RHOIP3	Myosin phosphatase Rho-interacting protein
Q6WCQ1-3	MPRIP	Isoform 3 of Myosin phosphatase Rho-interacting protein
Q6WKZ4	RAB11FIP1;RCP	Rab11 family-interacting protein 1
Q6WN34	CHRDL2;BNF1;CHL2;UNQ765/PRO1557	Chordin-like protein 2
Q6XPS3	TPTE2;TPIP	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase TPTE2
Q6XUX3	DSTYK;KIAA0472;RIP5;RIPK5;SGK496;HDCMD38P	Dual serine/threonine and tyrosine protein kinase
Q6Y1H2	PTPLB;HACD2	Very-long-chain
Q6Y288	B3GALTL;B3GTL	Beta-1,3-glucosyltransferase
Q6Y7W6	GIGYF2;KIAA0642;PERQ2;TNRC15	PERQ amino acid-rich with GYF domain-containing protein 2
Q6YHK3	CD109;CPAMD7	CD109 antigen
Q6YHK3-1	CD109 	CD109 antigen
Q6YHK3-2	CD109	Isoform 2 of CD109 antigen
Q6YN16	HSDL2;C9orf99	Hydroxysteroid dehydrogenase-like protein 2
Q6ZMG9	CERS6;LASS6	Ceramide synthase 6
Q6ZMU5	TRIM72;MG53	Tripartite motif-containing protein 72
Q6ZMV9	KIF6;C6orf102	Kinesin-like protein KIF6
Q6ZMZ3	SYNE3;C14orf49	Nesprin-3
Q6ZNE5	ATG14;KIAA0831	Beclin 1-associated autophagy-related key regulator
Q6ZNG9	KRBA2	KRAB-A domain-containing protein 2
Q6ZNJ1	NBEAL2;KIAA0540;UNQ253/PRO290	Neurobeachin-like protein 2
Q6ZQQ6	WDR87	WD repeat-containing protein 87
Q6ZRP7	QSOX2;QSCN6L1;SOXN	Sulfhydryl oxidase 2
Q6ZS72	C19orf35	Putative uncharacterized protein C19orf35
Q6ZT98	TTLL7	Tubulin polyglutamylase TTLL7
Q6ZTU2	EP400NL	EP400 N-terminal-like protein
Q6ZVF9	GPRIN3;KIAA2027	G protein-regulated inducer of neurite outgrowth 3
Q6ZWK6	TMPRSS11F;HATL4	Transmembrane protease serine 11F
Q6ZWT7	MBOAT2;OACT2	Lysophospholipid acyltransferase 2
Q6ZXV5	TMTC3	Transmembrane and TPR repeat-containing protein 3
Q6ZXV5-2	TMTC3	Isoform 2 of Transmembrane and TPR repeat-containing protein 3
Q709C8	VPS13C;KIAA1421	Vacuolar protein sorting-associated protein 13C
Q70J99	UNC13D	Protein unc-13 homolog D
Q70UQ0	IKBIP;IKIP	Inhibitor of nuclear factor kappa-B kinase-interacting protein
Q70UQ0-4	IKBIP	Isoform 4 of Inhibitor of nuclear factor kappa-B kinase-interacting protein
Q719I0	AHSA2	Activator of 90 kDa heat shock protein ATPase homolog 2
Q71DI3	HIST2H3A;HIST2H3C;H3F2;H3FM;HIST2H3D	Histone H3.2
Q71H61	ILDR2;C1orf32	Immunoglobulin-like domain-containing receptor 2
Q71RC2	LARP4;PP13296	La-related protein 4
Q71RG4	TMUB2;FP2653;UNQ1897/PRO4343	Transmembrane and ubiquitin-like domain-containing protein 2
Q71U36	TUBA1A;TUBA3	Tubulin alpha-1A chain
Q71UI9	H2AFV;H2AV	Histone H2A.V
Q71UM5	RPS27L	40S ribosomal protein S27-like
Q75WM6	H1FNT;HANP1	Testis-specific H1 histone
Q76I76	SSH2;KIAA1725;SSH2L	Protein phosphatase Slingshot homolog 2
Q7KYR7	BTN2A1;BT2.1;BTF1	Butyrophilin subfamily 2 member A1
Q7KZF4	SND1;TDRD11	Staphylococcal nuclease domain-containing protein 1
Q7KZI7	MARK2;EMK1	Serine/threonine-protein kinase MARK2
Q7KZN9	COX15	Cytochrome c oxidase assembly protein COX15 homolog
Q7KZN9-2	COX15	Isoform 2 of Cytochrome c oxidase assembly protein COX15 homolog
Q7L014	DDX46;KIAA0801	Probable ATP-dependent RNA helicase DDX46
Q7L0J3	SV2A;KIAA0736;PSEC0174	Synaptic vesicle glycoprotein 2A
Q7L0X2	ERICH6;C3orf44;FAM194A	Glutamate-rich protein 6
Q7L1Q6	BZW1;BZAP45;KIAA0005	Basic leucine zipper and W2 domain-containing protein 1
Q7L211	ABHD13;C13orf6	Alpha/beta hydrolase domain-containing protein 13
Q7L2E3	DHX30;DDX30;KIAA0890	Putative ATP-dependent RNA helicase DHX30
Q7L2H7	EIF3M;HFLB5;PCID1;GA17;PNAS-125	Eukaryotic translation initiation factor 3 subunit M
Q7L523	RRAGA	Ras-related GTP-binding protein A
Q7L576	CYFIP1;KIAA0068	Cytoplasmic FMR1-interacting protein 1
Q7L7L0	HIST3H2A	Histone H2A type 3
Q7L7Q6	NA	Reticulon-4
Q7L7X3	TAOK1;KIAA1361;MAP3K16;MARKK	Serine/threonine-protein kinase TAO1
Q7L9B9	EEPD1;KIAA1706	Endonuclease/exonuclease/phosphatase family domain-containing protein 1
Q7LGA3	HS2ST1;HS2ST;KIAA0448	Heparan sulfate 2-O-sulfotransferase 1
Q7LGA3-1	HS2ST1 	Heparan sulfate 2-O-sulfotransferase 1
Q7RTP6	MICAL3;KIAA0819;KIAA1364	Protein-methionine sulfoxide oxidase MICAL3
Q7RTV0	PHF5A	PHD finger-like domain-containing protein 5A
Q7RTX7	CATSPER4	Cation channel sperm-associated protein 4
Q7Z2K6	ERMP1;FXNA;KIAA1815	Endoplasmic reticulum metallopeptidase 1
Q7Z2K8	GPRIN1;KIAA1893	G protein-regulated inducer of neurite outgrowth 1
Q7Z2W4	ZC3HAV1;ZC3HDC2;PRO1677	Zinc finger CCCH-type antiviral protein 1
Q7Z333	SETX;ALS4;KIAA0625;SCAR1	Probable helicase senataxin
Q7Z340	ZNF551;KOX23	Zinc finger protein 551
Q7Z3B0	SMIM15;C5orf43	Small integral membrane protein 15
Q7Z3B1	NEGR1;IGLON4;UNQ2433/PRO4993	Neuronal growth regulator 1
Q7Z3V4	UBE3B	Ubiquitin-protein ligase E3B
Q7Z401	DENND4A;IRLB;MYCPBP	C-myc promoter-binding protein
Q7Z406	MYH14;KIAA2034;FP17425	Myosin-14
Q7Z434	MAVS;IPS1;KIAA1271;VISA	Mitochondrial antiviral-signaling protein
Q7Z434-1	MAVS 	Mitochondrial antiviral-signaling protein
Q7Z443	PKD1L3	Polycystic kidney disease protein 1-like 3
Q7Z460	CLASP1;KIAA0622;MAST1	CLIP-associating protein 1
Q7Z478	DHX29;DDX29	ATP-dependent RNA helicase DHX29
Q7Z4F1	LRP10;MSTP087;SP220;UNQ389/PRO724	Low-density lipoprotein receptor-related protein 10
Q7Z4H3	HDDC2;C6orf74;NS5ATP2;CGI-130	HD domain-containing protein 2
Q7Z4R8	C6orf120	UPF0669 protein C6orf120
Q7Z5G4	GOLGA7;GCP16;HDCKB03P;HSPC041	Golgin subfamily A member 7
Q7Z5H3	ARHGAP22;RHOGAP2	Rho GTPase-activating protein 22
Q7Z5Q4	NA	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1
Q7Z5R6	APBB1IP;PREL1;RARP1;RIAM	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein
Q7Z5W3	BCDIN3D	Pre-miRNA 5'-monophosphate methyltransferase
Q7Z5Y6	BMP8A	Bone morphogenetic protein 8A
Q7Z6E9	RBBP6;P2PR;PACT;RBQ1;My038	E3 ubiquitin-protein ligase RBBP6
Q7Z6I6	ARHGAP30	Rho GTPase-activating protein 30
Q7Z794	KRT77;KRT1B	Keratin, type II cytoskeletal 1b
Q7Z7A1	CNTRL;CEP1;CEP110	Centriolin
Q7Z7H5	TMED4;ERS25	Transmembrane emp24 domain-containing protein 4
Q7Z7H8	MRPL10;MRPL8;RPML8	39S ribosomal protein L10, mitochondrial
Q7Z7M0	MEGF8;C19orf49;EGFL4;KIAA0817	Multiple epidermal growth factor-like domains protein 8
Q7Z7N9	TMEM179B	Transmembrane protein 179B
Q86SF2	GALNT7	N-acetylgalactosaminyltransferase 7
Q86SG5	S100A7A;S100A15;S100A7L1	Protein S100-A7A
Q86SQ0	PHLDB2;LL5B	Pleckstrin homology-like domain family B member 2
Q86SQ4	GPR126;DREG;VIGR	G-protein coupled receptor 126
Q86T03	TMEM55B;C14orf9	Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase
Q86T13	CLEC14A;C14orf27;EGFR5;UNQ236/PRO269	C-type lectin domain family 14 member A
Q86T65	DAAM2;KIAA0381	Disheveled-associated activator of morphogenesis 2
Q86TJ2	TADA2B;ADA2B	Transcriptional adapter 2-beta
Q86TM6	SYVN1;HRD1;KIAA1810	E3 ubiquitin-protein ligase synoviolin
Q86TX4	NA	Full-length cDNA clone CS0DB009YA03 of Neuroblastoma of Homo sapiens
Q86TY5	NA	Galectin
Q86U42	PABPN1;PAB2;PABP2	Polyadenylate-binding protein 2
Q86UE4	MTDH;AEG1;LYRIC	Protein LYRIC
Q86UG4	SLCO6A1;OATP6A1;SLC21A19	Solute carrier organic anion transporter family member 6A1
Q86UK5	EVC2;LBN	Limbin
Q86UN3	RTN4RL2;NGRH1;NGRL3	Reticulon-4 receptor-like 2
Q86UP2	KTN1;CG1;KIAA0004	Kinectin
Q86UP2-1	KTN1 	Kinectin
Q86UX7	FERMT3;KIND3;MIG2B;URP2	Fermitin family homolog 3
Q86V81	ALYREF;ALY;BEF;THOC4	THO complex subunit 4
Q86VH2	KIF27	Kinesin-like protein KIF27
Q86VH4	LRRTM4;UNQ3075/PRO9907	Leucine-rich repeat transmembrane neuronal protein 4
Q86VM9	ZC3H18;NHN1	Zinc finger CCCH domain-containing protein 18
Q86VP1	TAX1BP1;T6BP;PRO0105	Tax1-binding protein 1
Q86VP6	CAND1;KIAA0829;TIP120;TIP120A	Cullin-associated NEDD8-dissociated protein 1
Q86VP6-2	CAND1	Isoform 2 of Cullin-associated NEDD8-dissociated protein 1
Q86VR2	FAM134C	Protein FAM134C
Q86VU5	COMTD1;UNQ766/PRO1558	Catechol O-methyltransferase domain-containing protein 1
Q86W42	THOC6;WDR58;PSEC0006	THO complex subunit 6 homolog
Q86W92	PPFIBP1;KIAA1230	Liprin-beta-1
Q86WC4	OSTM1;GL;HSPC019;UNQ6098/PRO21201	Osteopetrosis-associated transmembrane protein 1
Q86WI1	PKHD1L1	Fibrocystin-L
Q86WV1	SKAP1;SCAP1;SKAP55	Src kinase-associated phosphoprotein 1
Q86WV6	TMEM173;ERIS;MITA;STING	Stimulator of interferon genes protein
Q86WX3	RPS19BP1;AROS	Active regulator of SIRT1
Q86X29	LSR;LISCH	Lipolysis-stimulated lipoprotein receptor
Q86X69	NA	PON2 protein
Q86XK3	SFR1;C10orf78;MEI5;MEIR5	Swi5-dependent recombination DNA repair protein 1 homolog
Q86XL3	ANKLE2;KIAA0692;LEM4	Ankyrin repeat and LEM domain-containing protein 2
Q86XP3	DDX42	ATP-dependent RNA helicase DDX42
Q86XX4	FRAS1;KIAA1500	Extracellular matrix protein FRAS1
Q86Y39	NDUFA11	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11
Q86Y39-1	NDUFA11 	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11
Q86Y56	HEATR2	HEAT repeat-containing protein 2
Q86Y82	STX12	Syntaxin-12
Q86YC3	NRROS;LRRC33;UNQ3030/PRO9833	Negative regulator of reactive oxygen species
Q86YM7	HOMER1;SYN47	Homer protein homolog 1
Q86YN1	DOLPP1;LSFR2	Dolichyldiphosphatase 1
Q86YQ8	CPNE8	Copine-8
Q86YR7	MCF2L2;DRG;KIAA0861	Probable guanine nucleotide exchange factor MCF2L2
Q86YS7	C2CD5;CDP138;KIAA0528	C2 domain-containing protein 5
Q86YV0	RASAL3	RAS protein activator like-3
Q86YW5	TREML1;TLT1;UNQ1825/PRO3438	Trem-like transcript 1 protein
Q86YZ3	HRNR;S100A18	Hornerin
Q8IUA7	ABCA9	ATP-binding cassette sub-family A member 9
Q8IUE6	HIST2H2AB	Histone H2A type 2-B
Q8IUH4	ZDHHC13;HIP14L;HIP3RP	Palmitoyltransferase ZDHHC13
Q8IUW5	RELL1;PSEC0162	RELT-like protein 1
Q8IUX1	TMEM126B;HT007	Complex I assembly factor TMEM126B, mitochondrial
Q8IUX7	AEBP1;ACLP	Adipocyte enhancer-binding protein 1
Q8IVF2	AHNAK2;C14orf78;KIAA2019	Protein AHNAK2
Q8IVL6	LEPREL2;P3H3	Prolyl 3-hydroxylase 3
Q8IVT2	MISP;C19orf21	Mitotic interactor and substrate of PLK1
Q8IW40	CCDC103	Coiled-coil domain-containing protein 103
Q8IWA5	SLC44A2;CTL2;PSEC0210	Choline transporter-like protein 2
Q8IWA6	CCDC60	Coiled-coil domain-containing protein 60
Q8IWE2	FAM114A1;NOXP20	Protein NOXP20
Q8IWE4	DCUN1D3	DCN1-like protein 3
Q8IWT6	LRRC8A;KIAA1437;LRRC8;SWELL1;UNQ221/PRO247	Volume-regulated anion channel subunit LRRC8A
Q8IWU2	LMTK2;AATYK2;BREK;KIAA1079;KPI2;LMR2	Serine/threonine-protein kinase LMTK2
Q8IWZ3	ANKHD1;KIAA1085;MASK;VBARP;PP2500	Ankyrin repeat and KH domain-containing protein 1
Q8IX05	CD302;CLEC13A;DCL1;KIAA0022	CD302 antigen
Q8IXI1	RHOT2;ARHT2;C16orf39	Mitochondrial Rho GTPase 2
Q8IXI1-1	RHOT2 	Mitochondrial Rho GTPase 2
Q8IXI2	RHOT1;ARHT1	Mitochondrial Rho GTPase 1
Q8IXJ6	SIRT2;SIR2L;SIR2L2	NAD-dependent protein deacetylase sirtuin-2
Q8IXM3	MRPL41;BMRP;MRPL27;RPML27;PIG3	39S ribosomal protein L41, mitochondrial
Q8IXM6	NRM;NRM29;UNQ555/PRO1112	Nurim
Q8IXR9	C12orf56	Uncharacterized protein C12orf56
Q8IXU6	SLC35F2	Solute carrier family 35 member F2
Q8IY17	PNPLA6;NTE	Neuropathy target esterase
Q8IY26	PPAPDC2	Presqualene diphosphate phosphatase
Q8IY67	RAVER1;KIAA1978	Ribonucleoprotein PTB-binding 1
Q8IY95	TMEM192	Transmembrane protein 192
Q8IYB3-1	SRRM1 	Serine/arginine repetitive matrix protein 1
Q8IYD8	FANCM;KIAA1596	Fanconi anemia group M protein
Q8IYL3	C1orf174	UPF0688 protein C1orf174
Q8IYR0	C6orf165	UPF0704 protein C6orf165
Q8IYS2-1	KIAA2013 	Uncharacterized protein KIAA2013
Q8IYU8	MICU2;EFHA1	Calcium uptake protein 2, mitochondrial
Q8IYY4	DZIP1L	Zinc finger protein DZIP1L
Q8IZ16	C7orf61	Uncharacterized protein C7orf61
Q8IZ41	RASEF;RAB45	Ras and EF-hand domain-containing protein
Q8IZ81	ELMOD2	ELMO domain-containing protein 2
Q8IZ96	CMTM1;CKLFSF1	CKLF-like MARVEL transmembrane domain-containing protein 1
Q8IZH2	XRN1;SEP1	5'-3' exoribonuclease 1
Q8IZL8	PELP1;HMX3;MNAR	Proline-, glutamic acid- and leucine-rich protein 1
Q8IZY2	ABCA7	ATP-binding cassette sub-family A member 7
Q8MGZ8	HLA-B	MHC class I antigen
Q8N0U8	VKORC1L1	Vitamin K epoxide reductase complex subunit 1-like protein 1
Q8N103	TAGAP;TAGAP1;FKSG15	T-cell activation Rho GTPase-activating protein
Q8N111	CEND1;BM88	Cell cycle exit and neuronal differentiation protein 1
Q8N122	RPTOR;KIAA1303;RAPTOR	Regulatory-associated protein of mTOR
Q8N128	FAM177A1;C14orf24	Protein FAM177A1
Q8N129	CNPY4;PSEC0237;UNQ1909/PRO4354	Protein canopy homolog 4
Q8N131	TMEM123;KCT3;PSEC0111;UNQ641/PRO1271	Porimin
Q8N138	ORMDL3	ORM1-like protein 3
Q8N183	NDUFAF2;NDUFA12L	Mimitin, mitochondrial
Q8N1F7	NUP93;KIAA0095	Nuclear pore complex protein Nup93
Q8N1G4	LRRC47;KIAA1185	Leucine-rich repeat-containing protein 47
Q8N2F6	ARMC10;SVH;PSEC0198	Armadillo repeat-containing protein 10
Q8N2F6-4	ARMC10	Isoform 4 of Armadillo repeat-containing protein 10
Q8N2K0	ABHD12;C20orf22	Monoacylglycerol lipase ABHD12
Q8N2K0-3	ABHD12	Isoform 3 of Monoacylglycerol lipase ABHD12
Q8N2K1	UBE2J2;NCUBE2	Ubiquitin-conjugating enzyme E2 J2
Q8N2U0	TMEM256;C17orf61	Transmembrane protein 256
Q8N335	GPD1L;KIAA0089	Glycerol-3-phosphate dehydrogenase 1-like protein
Q8N357	SLC35F6;C2orf18;UNQ3047/PRO9863	Solute carrier family 35 member F6
Q8N3C0	ASCC3;HELIC1	Activating signal cointegrator 1 complex subunit 3
Q8N3E9	PLCD3;KIAA1964	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3
Q8N3K9	CMYA5;C5orf10;DTNBP2;SPRYD2;TRIM76	Cardiomyopathy-associated protein 5
Q8N3R9	MPP5	MAGUK p55 subfamily member 5
Q8N474	SFRP1;FRP;FRP1;SARP2	Secreted frizzled-related protein 1
Q8N4C8	MINK1;B55;MAP4K6;MINK;YSK2;ZC3	Misshapen-like kinase 1
Q8N4H5	TOMM5;C9orf105;TOM5	Mitochondrial import receptor subunit TOM5 homolog
Q8N4Q1	CHCHD4;MIA40	Mitochondrial intermembrane space import and assembly protein 40
Q8N511	TMEM199;C17orf32	Transmembrane protein 199
Q8N565	MREG;DSU;HDCGA21P	Melanoregulin
Q8N587	ZNF561	Zinc finger protein 561
Q8N5G2	TMEM57	Macoilin
Q8N5K1	CISD2;CDGSH2;ERIS;ZCD2	CDGSH iron-sulfur domain-containing protein 2
Q8N5M9	JAGN1	Protein jagunal homolog 1
Q8N5N7	MRPL50	39S ribosomal protein L50, mitochondrial
Q8N5X7	EIF4E3	Eukaryotic translation initiation factor 4E type 3
Q8N603	NA	Similar to KIAA0372 gene product
Q8N655	C10orf12	Uncharacterized protein C10orf12
Q8N699	MYCT1;MTLC;MTMC1	Myc target protein 1
Q8N6I1	EID2;CRI2	EP300-interacting inhibitor of differentiation 2
Q8N6L1	KRTCAP2;KCP2	Keratinocyte-associated protein 2
Q8N6M3	FITM2;C20orf142;FIT2	Fat storage-inducing transmembrane protein 2
Q8N6S5	ARL6IP6;PFAAP1	ADP-ribosylation factor-like protein 6-interacting protein 6
Q8N766	EMC1;KIAA0090;PSEC0263	ER membrane protein complex subunit 1
Q8N766-4	EMC1	Isoform 4 of ER membrane protein complex subunit 1
Q8N7C0	LRRC52	Leucine-rich repeat-containing protein 52
Q8N7R7	CCNYL1	Cyclin-Y-like protein 1
Q8N7W2	BEND7;C10orf30	BEN domain-containing protein 7
Q8N7X0	ADGB;C6orf103;CAPN7L	Androglobin
Q8N883	ZNF614	Zinc finger protein 614
Q8N8A2	ANKRD44	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B
Q8N8R3	SLC25A29;C14orf69;ORNT3	Mitochondrial basic amino acids transporter
Q8N8U9	BMPER;KIAA1965	BMP-binding endothelial regulator protein
Q8N9C0	IGSF22	Immunoglobulin superfamily member 22
Q8N9F0	NAT8L;CML3	N-acetylaspartate synthetase
Q8N9F7	GDPD1;GDE4	Glycerophosphodiester phosphodiesterase domain-containing protein 1
Q8N9N8	EIF1AD	Probable RNA-binding protein EIF1AD
Q8N9Q2	SREK1IP1;P18SRP;SFRS12IP1	Protein SREK1IP1
Q8NB49	ATP11C;ATPIG;ATPIQ	Phospholipid-transporting ATPase IG
Q8NBI6	XXYLT1;C3orf21;PSEC0251	Xyloside xylosyltransferase 1
Q8NBJ5	COLGALT1;GLT25D1;PSEC0241	Procollagen galactosyltransferase 1
Q8NBM4	UBAC2;PHGDHL1;PSEC0110	Ubiquitin-associated domain-containing protein 2
Q8NBM4-4	UBAC2	Isoform 4 of Ubiquitin-associated domain-containing protein 2
Q8NBN3	TMEM87A;PSEC0094	Transmembrane protein 87A
Q8NBN7	RDH13;PSEC0082;UNQ736/PRO1430	Retinol dehydrogenase 13
Q8NBQ5	HSD17B11;DHRS8;PAN1B;PSEC0029;UNQ207/PRO233	Estradiol 17-beta-dehydrogenase 11
Q8NBS9	TXNDC5;TLP46;UNQ364/PRO700	Thioredoxin domain-containing protein 5
Q8NBU5	ATAD1;FNP001	ATPase family AAA domain-containing protein 1
Q8NBX0	SCCPDH;CGI-49	Saccharopine dehydrogenase-like oxidoreductase
Q8NC51	SERBP1;PAIRBP1;CGI-55	Plasminogen activator inhibitor 1 RNA-binding protein
Q8NC56	LEMD2	LEM domain-containing protein 2
Q8NCA5	FAM98A	Protein FAM98A
Q8NCH0	CHST14;D4ST1;UNQ1925/PRO4400	Carbohydrate sulfotransferase 14
Q8NCI6	GLB1L3	Beta-galactosidase-1-like protein 3
Q8NCS7	SLC44A5;CTL5	Choline transporter-like protein 5
Q8ND23	LRRC16B;C14orf121	Leucine-rich repeat-containing protein 16B
Q8ND30	PPFIBP2	Liprin-beta-2
Q8ND76	CCNY;C10orf9;CBCP1;CFP1	Cyclin-Y
Q8NDI1	EHBP1;KIAA0903;NACSIN	EH domain-binding protein 1
Q8NDZ9	NA	Putative uncharacterized protein LOC439951
Q8NE09	RGS22	Regulator of G-protein signaling 22
Q8NE71-2	ABCF1	Isoform 2 of ATP-binding cassette sub-family F member 1
Q8NE86	MCU;C10orf42;CCDC109A	Calcium uniporter protein, mitochondrial
Q8NE86-1	MCU 	Calcium uniporter protein, mitochondrial
Q8NEB9	PIK3C3;VPS34	Phosphatidylinositol 3-kinase catalytic subunit type 3
Q8NEM2	SHCBP1	SHC SH2 domain-binding protein 1
Q8NF37	LPCAT1;AYTL2;PFAAP3	Lysophosphatidylcholine acyltransferase 1
Q8NF50	DOCK8	Dedicator of cytokinesis protein 8
Q8NFC6	BOD1L1;BOD1L;FAM44A;KIAA1327	Biorientation of chromosomes in cell division protein 1-like 1
Q8NFJ5	GPRC5A;GPCR5A;RAI3;RAIG1	Retinoic acid-induced protein 3
Q8NFT2	STEAP2;PCANAP1;STAMP1;UNQ6507/PRO23203	Metalloreductase STEAP2
Q8NFX7-1	STXBP6 	Syntaxin-binding protein 6
Q8NFZ0	FBXO18;FBH1;FBX18	F-box only protein 18
Q8NGS1	OR1J4	Olfactory receptor 1J4
Q8NH53	OR52N1	Olfactory receptor 52N1
Q8NHG7	SVIP	Small VCP/p97-interacting protein
Q8NHH9	ATL2;ARL6IP2	Atlastin-2
Q8NHV1	GIMAP7;IAN7	GTPase IMAP family member 7
Q8NHW5	RPLP0P6	60S acidic ribosomal protein P0-like
Q8NI22	MCFD2;SDNSF	Multiple coagulation factor deficiency protein 2
Q8NI27	THOC2;CXorf3	THO complex subunit 2
